manufacturer,model,year,mileage,engine,transmission,drivetrain,fuel_type,mpg,exterior_color,interior_color,accidents_or_damage,one_owner,personal_use_only,seller_name,seller_rating,driver_rating,driver_reviews_num,price_drop,price
Nissan,Rogue Sport S,2021,63005.0,2.0L I4 16V GDI DOHC,Automatic CVT,Front-wheel Drive,Gasoline,25-32,Glacier White,Charcoal,0.0,1.0,0.0,Jenkins Acura,4.8,4.8,15.0,,23998.0
Ford,Fusion Titanium,2015,91366.0,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,All-wheel Drive,Gasoline,22-31,Silver,Earth Gray,1.0,0.0,1.0,Greg Hubler Ford,2.9,4.5,183.0,329.0,15668.0
Nissan,Armada SL 2WD,2020,87464.0,"5.6L V-8 gasoline direct injection, DOHC, variable valve control",7-Speed Automatic,Rear-wheel Drive,Gasoline,14-19,Gun Metallic,Black,0.0,0.0,0.0,Benton Nissan of Bessemer,4.6,4.6,9.0,255.0,30527.0
Chevrolet,Trax LS,2017,77339.0,1.4L I4 16V MPFI DOHC Turbo,6-Speed Automatic,Front-wheel Drive,Gasoline,25-33,Summit White,Black,0.0,1.0,1.0,Andy Mohr Ford,4.0,4.5,185.0,1832.0,14931.0
Ford,Bronco Badlands,2022,512.0,2.7L V6 24V GDI DOHC Turbo,10-Speed Automatic,Four-wheel Drive,Gasoline,16-17,Velocity Blue Metallic,,0.0,1.0,1.0,Courtesy Ford,4.8,4.6,10.0,300.0,64626.0
Audi,S5 3.0T Premium Plus,2020,66060.0,3.0L V6 24V GDI DOHC Turbo,8-Speed Automatic,All-wheel Drive,Gasoline,20-27,Mythos Black Metallic,Black,1.0,1.0,0.0,Schaumburg Ford,4.1,5.0,3.0,782.0,40950.0
BMW,330 i xDrive,2020,40114.0,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,All-wheel Drive,Gasoline,25-34,Black Sapphire Metallic,Black,0.0,0.0,1.0,Sky Motor Cars,5.0,4.6,26.0,,32980.0
Volkswagen,Passat 2.0T SE,2022,13682.0,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Front-wheel Drive,Gasoline,24-36,Tourmaline Blue Metallic,Titan Black,0.0,1.0,0.0,Luther Westside VW,4.8,4.2,3.0,400.0,26475.0
Nissan,Z Performance,2023,189.0,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Rear-wheel Drive,Gasoline,,Black Diamond,Red,0.0,1.0,1.0,Lia Nissan of Glens Falls,4.2,5.0,1.0,,67500.0
Jeep,Cherokee Latitude Lux,2021,25024.0,3.2L V6 24V MPFI DOHC,9-Speed Automatic,Four-wheel Drive,Gasoline,19-27,Diamond Black,Black,0.0,1.0,1.0,McCluskey Chevrolet,3.1,4.9,73.0,311.0,30989.0
Toyota,Highlander LE,2014,192325.0,"2.7L I-4 DOHC, VVT-i variable valve control, engine with 185HP",Automatic,Front-wheel Drive,Gasoline,20-0,NAVY,CREAM,1.0,0.0,0.0,Beverly Hills Auto Brokers,4.5,4.6,104.0,500.0,12499.0
Mercedes-Benz,C-Class C 300,2021,21943.0,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Rear-wheel Drive,Gasoline,23-35,Selenite Gray Metallic,Black,0.0,1.0,1.0,Mercedes-Benz of Plano,4.7,5.0,4.0,,42699.0
Jeep,Renegade Latitude,2018,76000.0,"Tigershark MultiAir 2.4L I-4 variable valve control, engine with",Automatic,Four-wheel Drive,Gasoline,21-29,Colorado Red,Black,1.0,1.0,1.0,Chevrolet of Clinton,4.7,4.6,292.0,535.0,17769.0
Dodge,Charger Scat Pack,2022,1591.0,6.4L V8 16V MPFI OHV,8-Speed Automatic,Rear-wheel Drive,Gasoline,15-24,Torred Clearcoat,Black,0.0,1.0,1.0,Mac Haik Pre-Owned Spring,,5.0,2.0,,56299.0
BMW,X2 xDrive28i,2018,29791.0,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,All-wheel Drive,Gasoline,21-31,Black Sapphire Metallic,Black,0.0,1.0,0.0,ABZ Motors,4.1,4.7,42.0,,28991.0
BMW,X5 xDrive 35i Sport Activity,2013,100148.0,"3L I-6 gasoline direct injection, DOHC, variable valve control,","Auto, 8-Spd Spt Stptrnc",All-wheel Drive,Gasoline,16-23,Black,Black Leather,0.0,0.0,1.0,Expert Motors,,4.6,82.0,,15995.0
Jeep,Grand Cherokee Laredo,2013,138707.0,3.6L V6 24V MPFI DOHC Flexible Fuel,Automatic,Four-wheel Drive,E85 Flex Fuel,16-23,Bright White Clearcoat,Black,0.0,0.0,1.0,Contra Costa County Public Auto Auction,,4.7,90.0,330.0,13420.0
Nissan,Rogue SV,2019,35286.0,2.5L I4 16V MPFI DOHC,Automatic CVT,All-wheel Drive,Gasoline,25-32,Silver,Black,0.0,0.0,1.0,CarMax Winston-Salem - Offering Express Pickup and Home Delivery,,4.7,259.0,,24998.0
Subaru,WRX STI Base,2016,82602.0,2.5L H4 16V MPFI DOHC Turbo,6-Speed Manual,All-wheel Drive,Gasoline,17-23,Crystal White Pearl,Black,0.0,0.0,1.0,Wheel Deal Auto Sales,,4.7,24.0,200.0,26500.0
Mercedes-Benz,C-Class C 300,2019,17258.0,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Rear-wheel Drive,Gasoline,23-34,,,0.0,1.0,0.0,Mercedes-Benz of Maui,4.9,4.8,41.0,2002.0,39884.0
Kia,Sportage LX,2015,69631.0,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Front-wheel Drive,Gasoline,,Silver,Black,,,,,,4.4,62.0,,10950.0
Land Rover,Discovery SE,2020,69199.0,V6,Automatic,Four-wheel Drive,Gasoline,16-21,Fuji White,Ebony / Light Oyster,1.0,1.0,0.0,ALM Marietta,4.4,4.9,3.0,1000.0,28977.0
Acura,TLX V6 Tech,2016,98996.0,3.5L,9-Speed Automatic,Front-wheel Drive,Gasoline,21-34,Graphite Luster Metallic,"Ebony, premium leather",0.0,0.0,0.0,Premier Auto Imports,,4.5,54.0,,19995.0
Ford,Focus SE,2016,61032.0,2.0L I4 16V GDI DOHC Flexible Fuel,Automatic,Front-wheel Drive,E85 Flex Fuel,26-36,Oxford White,Charcoal Black,1.0,0.0,1.0,The Car Lot,3.5,4.4,193.0,1000.0,12995.0
Chevrolet,Suburban 1500 LT,2013,315682.0,5.3L V8 16V MPFI OHV,6-Speed Automatic,Rear-wheel Drive,Gasoline,15-21,Black,Ebony,0.0,0.0,0.0,Platinum Autos,3.5,4.4,56.0,,8998.0
Volkswagen,Atlas 2.0T S,2018,52848.0,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Front-wheel Drive,Gasoline,22-26,Platinum Gray Metallic,Titan Black,0.0,1.0,1.0,Sutton Ford,4.4,4.7,229.0,200.0,21777.0
GMC,Yukon Denali,2018,134457.0,6.2L V8 16V GDI OHV,10-Speed Automatic,Rear-wheel Drive,Gasoline,14-23,White Frost Tri-Coat,Cocoa,0.0,1.0,1.0,"Jim Hoffpauir, Inc.",4.4,4.9,47.0,,46900.0
Nissan,Titan PRO-4X,2021,17300.0,5.6L V8 32V GDI DOHC,9-Speed Automatic,Four-wheel Drive,,,Baja Storm,Black,0.0,1.0,0.0,Greeley Nissan VW,,4.3,16.0,100.0,47894.0
Audi,A6 3.0t Sport,2018,46363.0,3.0L V6 24V GDI DOHC Supercharged,8-Speed Automatic,All-wheel Drive,Gasoline,20-29,Mythos Black Metallic,Black,0.0,1.0,1.0,Schaller Honda,2.9,4.7,23.0,700.0,28997.0
Nissan,Xterra X,2011,216567.0,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Four-wheel Drive,Gasoline,15-20,Silver Lightning,Black,1.0,0.0,1.0,Doug Justus Auto Center,3.2,4.7,23.0,,7995.0
Toyota,Highlander XLE,2021,61229.0,3.5L V6 24V PDI DOHC,8-Speed Automatic,Front-wheel Drive,Gasoline,21-29,Midnight Black,Black,0.0,1.0,1.0,Sansone Rt 1 Auto Mall,4.9,4.8,97.0,300.0,34959.0
BMW,X3 xDrive28i,2014,77660.0,"2L I-4 gasoline direct injection, DOHC, variable valve control,",Automatic,All-wheel Drive,Gasoline,21-28,Black Sapphire Metallic,Black,1.0,0.0,1.0,Prestige Auto Mart Brockton,5.0,4.7,69.0,,15995.0
Volvo,XC90 T6 Momentum,2016,106864.0,"Drive-E 2L I-4 gasoline direct injection, DOHC, variable valve c",Automatic,All-wheel Drive,Gasoline,20-25,Black,,0.0,0.0,1.0,Champion Auto Sales,5.0,4.5,70.0,395.0,22702.0
Kia,Forte LXS,2021,40289.0,2.0L I4 16V MPFI DOHC,Automatic CVT,Front-wheel Drive,Gasoline,,Silky Silver,Black,0.0,1.0,0.0,AutoNation Toyota Leesburg,4.5,4.8,51.0,795.0,16995.0
Mazda,Mazda6 Signature,2018,29139.0,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Front-wheel Drive,Gasoline,23-31,Soul Red Crystal,Chestnut,0.0,0.0,1.0,South Toyota,3.7,4.8,68.0,,31991.0
Toyota,Highlander XLE,2019,43309.0,3.5L V6 24V PDI DOHC,8-Speed Automatic,Front-wheel Drive,Gasoline,21-27,Blizzard Pearl,Almond,0.0,1.0,1.0,Tameron Honda,4.6,4.6,365.0,1002.0,33995.0
Tesla,Model 3 Standard Range,2019,22673.0,Electric,1-Speed Automatic,Rear-wheel Drive,Electric,,Pearl White Multi,Black,0.0,0.0,1.0,Perillo BMW,4.7,4.9,33.0,1000.0,34888.0
Mercedes-Benz,"Sprinter 2500 2500 High Roof I4 Diesel 170"" RWD",2023,10.0,Intercooled Turbo Diesel I-4 2.0 L/119,Automatic,Rear-wheel Drive,Diesel,0-0,Arctic White,Black,0.0,1.0,1.0,Rick Hendrick Chevrolet of Buford,4.8,,0.0,,67559.0
Volvo,XC40 Recharge Pure Electric P8 Twin Plus,2022,7660.0,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Crystal White Metallic,,0.0,1.0,1.0,Rickenbaugh Cadillac Volvo Cars,4.6,,0.0,500.0,51000.0
Jeep,Grand Cherokee Summit,2021,40400.0,5.7L V8 16V MPFI OHV,8-Speed Automatic,Four-wheel Drive,Gasoline,18-25,Ivory,Light Frost,0.0,1.0,0.0,Melton Sales,4.8,4.6,61.0,3432.0,45559.0
Jeep,Wrangler Unlimited 4xe Sahara,2022,11982.0,2.0L I4 16V GDI DOHC Turbo Hybrid,8-Speed Automatic,Four-wheel Drive,Hybrid,,Black Clearcoat,Black,1.0,1.0,0.0,AutoNation Chrysler Jeep West,4.7,4.1,3.0,1000.0,47580.0
Honda,Accord LX,2016,12059.0,2.4L I4 16V GDI DOHC,Automatic CVT,FWD,Gasoline,27-37,Gray,Black,,,,CarMax Texas Stadium (Irving) - Offering Express Pickup and Home Delivery,,4.7,287.0,,23998.0
GMC,Sierra 3500 Denali,2022,20383.0,6.6L V8 32V DDI OHV Turbo Diesel,10-Speed Automatic,Four-wheel Drive,Diesel,,Quicksilver Metallic,Jet Black,0.0,0.0,0.0,Elliott Bay Auto Brokers,4.7,3.7,2.0,,77880.0
Ford,Edge Limited,2010,144780.0,3.5L V6 24V MPFI DOHC,6-Speed Automatic,All-wheel Drive,Gasoline,17-23,Black,Camel,1.0,0.0,0.0,Wholesale Direct Motors,,4.4,81.0,,8995.0
BMW,430 i,2020,11601.0,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Rear-wheel Drive,Gasoline,23-34,Black Sapphire Metallic,Cognac,1.0,1.0,1.0,BMW of Monrovia,4.8,4.9,8.0,400.0,42999.0
Ford,Explorer XLT,2021,37351.0,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Rear-wheel Drive,Gasoline,21-28,Blue,Black / Gray,0.0,1.0,0.0,Off Lease Motors,,4.7,66.0,1000.0,31777.0
INFINITI,QX50 Luxe,2020,35965.0,2.0L I4 16V PDI DOHC Turbo,Automatic CVT,Front-wheel Drive,Gasoline,23-29,Graphite Shadow,Graphite,0.0,1.0,1.0,Schumacher Buick GMC of West Palm Beach,4.8,4.6,23.0,,29991.0
Toyota,Yaris,2015,75456.0,1.5L I4 16V MPFI DOHC,4-Speed Automatic,Front-wheel Drive,Gasoline,30-36,Super White,,1.0,0.0,0.0,Calimax Auto Sales,,4.6,26.0,,13977.0
